date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
09/25/13,72,64,8,1471,1311,160,63,,0,4,0,,1,,1,,0,
09/26/13,74,64,10,1602,1400,202,63,,0,5,0,,1,,,,0,
09/27/13,54,47,7,1499,1206,289,64,,0,6,0,,1,,,,0,
09/28/13,35,25,10,821,487,331,67,,1,7,0,,1,,,,0,
09/29/13,20,16,4,771,395,383,66,,1,1,0,,1,,,,0,
09/30/13,56,48,8,1344,1151,193,67,,0,2,0,,,,,,0,
10/01/13,61,53,8,1427,1269,158,63,,0,3,0,,,,,1,0,
10/02/13,64,56,8,1471,1311,160,64,,0,4,0,,,,,1,0,
10/03/13,81,67,14,1602,1400,202,62,,0,5,0,,,1,,1,0,
10/04/13,76,64,12,1499,1206,289,70,,0,6,0,,,,,1,0,
10/05/13,48,37,11,821,487,331,67,,1,7,0,,,1,,1,0,
10/06/13,58,35,23,771,395,383,67,,1,1,0,1,,,,1,0,
10/07/13,48,42,6,1344,1151,193,68,,0,2,0,,,,,1,0,
10/08/13,79,65,14,1427,1269,158,63,,0,3,0,,,1,,1,0,
10/09/13,63,58,5,1471,1311,160,59,,0,4,0,,,,,1,0,
10/10/13,64,61,3,1602,1400,202,62,,0,5,0,,,,,1,0,
10/11/13,72,59,13,1499,1206,289,58,,0,6,0,,,,,1,0,
10/12/13,46,33,13,821,487,331,59,,1,7,0,,,1,,1,0,
10/13/13,33,20,13,771,395,383,60,,1,1,0,1,,,,1,0,
10/14/13,55,46,9,1344,1151,193,63,,0,2,0,,,,,1,1,Columbus Day
10/15/13,70,60,10,1427,1269,158,63,,0,3,0,,,,,1,0,
10/16/13,65,55,10,1471,1311,160,66,,0,4,0,,,,,1,0,
10/17/13,87,74,13,1602,1400,202,65,,0,5,0,,,,,,0,
10/18/13,70,51,19,1499,1206,289,64,,0,6,1,,,,,,0,
10/19/13,39,28,11,821,487,331,64,,1,7,1,,,1,,,0,
10/20/13,40,22,18,771,395,383,62,,1,1,1,,,,,,0,
